id,Emotion,Sentence,Confidence
88,Hài quá,tầm 13tr thì nên mua ip14pro hay 15 thường ah ạ e xài lâu dài và phục vụ học tập có chơi game nhẹ em mua máy cũ anh ạ,0.34590337301725493
89,Hài quá,"Cho em hỏi tầm giá 8 triệu thì mua oppo hay xiaomi ạ, tư vấn giúp em điện thoại nhé",0.3542232467050438
90,Sợ quá,Tầm 9tr thì nên chọn tầm trung hay cao cấp sam sung đời cũ v a ? Mong anh tư vấn ...,0.29643938522981605
91,Thật kinh tởm,"Xin tư vấn máy chính hãng 10-15tr, ưu tiên chụp ảnh với anh em.",0.27623008251522946
92,Thật kinh tởm,"Mọi người ơi cho e hỏi vivo x200 pro mini dùng ở nước ngoài ổn k ạ ? Sắp tới e đi đức nên k biết mua máy này dùng bên đó ok k , kiểu sim sóng thông báo các thứ",0.28215972787468113
93,Hài quá,Cho e hỏi tài chính tầm 7-8tr thì nên mua máy nào a ngon a. Nhu cầu e là xem phim lướt mạng và chơi liên quân thôi ạ. Mong a tư vấn,0.3003302739110298
94,Hài quá,Mong anh so sánh ip17e và ip16. Chúc anh nhiều sức khoẻ,0.3499232630584461
95,Hài quá,10-15tr có slot nào cho honor 400 k ạ,0.29810418534416494
96,Hài quá,Chú dương có thể so sánh chi tiết giúp em giữa huawei band 11 Pro dây vải nylon dệt với xiaomi band 11 viền gốm và về phần dây đeo theo thời gian sử dụng độ bền như thế nào 2 con đang bằng giá nhau em đang phân vân không biết mua con nào hết cả em nhờ chú dương tư vấn dùm mong được lên sóng,0.28320139803537847
97,Hài quá,"Chào anh Dương, dưới 30tr chọn làm máy chính 4 năm, chán iPhone thì có con máy nào bền ko a, samsung dòng S ultra giờ có hiện tượng sọc màn k",0.32018657988485516
98,Hài quá,"A Dương ơi, tư vấn giúp e một con đt android cũ tầm giá 15tr với ạ ( một con đt thường, một con gập ). Chụp ảnh đẹp, tác vụ cơ bản mượt mà. Chúc a và gia đình nhiều sức khỏe.",0.30818965911619695
99,Sợ quá,"Nhờ anh Dương giúp đỡ. Vì em đang thích dòng Zfold của Samsung. Em thì chỉ cần dùng pin khỏe và chủ yếu lướt mạng và chát chít thôi. Nên gần như không quan trọng về cấu hình của Zfold 5,6 hay 7. Em nhờ a tư vấn xem với giá của 3 con này hiện tại thì nên chọn con nào hơn. Em muốn dùng mượt mà trong 5-6 năm. Em cảm ơn anh.",0.2820600163663436
100,Hài quá,Budget 10 củ có con nào cho phụ huynh lớn tuổi ko bác zương zê 😌 cần màn lớn tầm 6.7 6.9in ạh,0.3365604072912974
101,Hài quá,Anh ơi tại sao sau khi iqoo z9 cập nhật lên origin os 6 android 16 lại hay quá nhiệt 50 độ ạ,0.33246417115326826
102,Hài quá,iPhone mua sạc không dây chứ sạc dây đem ra ngoài chỉ. Bất tiện,0.32294274057214095
103,Sợ quá,cho mình hỏi tiền ít mà dùng ipone 12 thường cũ để quay video sản phẩm có được ko xin cảm ơn,0.2943107850502361
104,Sợ quá,"A ơi cho e hỏi ,redmi k60 còn đáng mua ở thời điểm hiện tại ko ạ",0.27859528086334073
105,Hài quá,Oneplus 15 có thể unlock cài rom qt rồi lock lại xài ok mà a,0.29899781572104384
106,Sợ quá,"Hiện tại sắp đến ngày 8/3 rồi e muốn tặng mẹ chiếc đt màn đẹp + pin trâu ko quan trọng chip vì mẹ e chỉ xem youtube thôi, e đang phân vân con honor x9d vì máy bền pin trâu nhưng ko biết màn hình có đẹp ko và ngoài con máy đó ra còn máy nào khác nữa ko a mong a tư vấn. Tài chính của e 10tr",0.32594962672030436
107,Hài quá,Đang phân vân giữa Oneplus 15 vs Honor Win . Con thì pin 7300 con thì pin 10000 có quạt,0.31483712043407713
108,Hài quá,"Con chào chú dương ạ, con đang phân vân giữa ip15prm và oneplus 15, nhu cầu chủ yếu là chụp hình nhiều, xem ytb và chơi game nhẹ như liên quân, con cảm ơn chú ạ, chúc chú nhiều sức khỏe",0.3007549784288965
109,Hài quá,"anh dương cho em hỏi tầm giá 10tr, máy cũ thì cam con nào đẹp nhất ạ, em đang cân nhắc oppo find x8 pro/ find x7utral. em chỉ ưu tiên camera, tránh phần cứng, phần mềm lỏ quá là được ạ .",0.320247344723736
110,Hài quá,Anh Dương cho em hỏi huawei smart band 11 có kết nối được với ip k ạ và có tiếng việt k ạ,0.2951045289803257
111,Hài quá,Anh ơi em muốn mua oneplus 15 chính hãng thì ở HN có cơ sở nào bán không ạ?,0.36084925352341873
112,Hài quá,OnePlus 15 up đc rom quốc tế nhé các bác 😀,0.36808745586130504
113,Sợ quá,"Hi a, iphone 17e ra rồi thì 16e có giảm nữa không ạ, liệu có xuống 11tr không ạ? Cảm ơn a",0.33584267508760485
114,Thật kinh tởm,"Chào anh Dương, em đang muốn mua 1 mẫu điện thoại phân khúc flagship cao cấp toàn diện để làm máy chính, chỉ cần hàng quốc tế chính hãng VN hay không đều được và tránh máy hàng nội địa bị chậm thông báo nhiều. Mong anh tư vấn giúp. Chúc anh sức khỏe.",0.29166116618389837
115,Hài quá,"chào chú dương, chúc chú nhiều sk ạ!
cháu xin tư vấn đth nhu cầu như sau
cháu muốn mua iphone trong tầm giá tầm 14 triệu đang phân vân iphone 16e new, iphone 15 new và iphone 14 pro cũ
nhu cầu: máy dùng lâu dài trên 5-6 năm tác vụ cơ bản mxh, chat, xem phim nhiều, chuyển khoản, ít khi chơi game, ko quan trọng pin nhưng xài mượt ko lag. chụp ảnh đẹp nhưng ko cần góc siêu rộng, chân dung 1x 2x là đủ, zoom xa thì ít xài chỉ cần ko bị noise nhiều là oke (đang dùng 11 prm zoom khá ổn), lâu lâu có quay concert nhưng cũng chỉ cần ko bị noise nhiều, còn lại ko quay video. với lại cháu là người cũng thích công nghệ nên cũng khá muốn trải nghiệm các tính năng AI. 120hz cũng tiếc nhưng cháu ko chơii game nên hi sinh cũng dc và cũng tiếc dynamic island nữa :'). hiện tại cả 3 máy đều đáp ứng tốt tác vụ cơ bản trên của cháu
hay là cố lên 15 plus ạ, cháu không thích pro max vì cầm khá cấn và nặng (đang xài 11 pro max thấy hơi khó chịu cầm nắm mà viền vuông chắc k sao, 200g cũng ko nặng), nhưng mà 15 plus cái màn to đánh đổi nhiều thứ quá nên cháu cũng ko muốn lắm. căn bản cả 3 máy đều dùng dc tác vụ cơ bản, nhưng 14 pro nó hơi cũ nữa. cháu cũng muốn xài màn 6.3 hoặc 6.5 của ip air hơn, 6.1 hơi nhỏ (cháu cầm thử rồi) nhưng kinh phí chỉ tới đó nên thôi cũng được.
mongg chú giải đáp",0.27756342238352655
116,Hài quá,"tầm 10tr trở xuống thì mua điện thoại chính hãng nào tab vụ mượt mà, không giật lag hay trễ thông báo, chụp hình đẹp anh? e không chơi game chỉ lướt mxh và sử dụng tab vụ bình thường.",0.31538736941312695
117,Hài quá,"Dạ con chào chú, chúc chú và gia đình nhiều sức khỏe
Con đang dùng Redmi Note 12T pro nhưng hiện tại giật lag khá nhiều, con muốn tìm máy dao động 7-11tr(hiệu năng mạnh) xách tay chính hãng đều đc ạ (nghiêng về OnePlus ace6T,13T và Redmi vì ngoại hình đẹp).
Nhu cầu của con là: học tập, chơi game , xem phim, nghe gọi(thông báo trễ không vấn đề ạ)
Nhờ chú tư vấn giúp con với ạ, con cảm ơn chú!",0.2791567082990434
118,Hài quá,"Chào chú Dương Dê, chúc chú và gia đình nhiều sức khỏe, sớm đạt 3 triệu sub ạ!

Cháu đang dùng Galaxy M51, tính đổi sang OPPO Find X9 Series hoặc S25 Ultra. Nhu cầu của cháu là: Xem YouTube nhiều, chụp ảnh đẹp, hệ điều hành mượt và đặc biệt là đi concert 1 lần/năm.
Cháu phân vân:
1. Có nên cố lên Find X9 Pro để lấy camera 200MP đi concert hay khi chụp ảnh thu sáng, ... có tốt hơn không?
2. Cháu sợ S25 Ultra pin không bằng M51 cũ và lỗi sọc màn hình/hở lưng, cũng như không có sạc sẵn.
3. Không biết còn máy nào toàn diện hơn không ạ, cháu cũng có chút thích cam X300 Pro nhưng chỉ mỗi cam thì hơi thiếu, cháu có thể mua mới hoặc cũ ở các cửa hàng lớn như TGDD hay CellphoneS ạ.

Nhờ chú tư vấn giúp cháu lựa chọn toàn diện nhất. Cháu cảm ơn chú!",0.29833078859233836
119,Sợ quá,Với iphon 16 nó gần như thế nào,0.2680510538070085
120,Hài quá,"anh ơi em có tài chính tầm  17 tr  mua 14 prm 256 gb cũ hay mua oppo find x9 ạ  nhu  cầu em  sử dụng lâu  dài quay video chụp ảnh   mạng xã hội  em học nhiều ở xưởng   trong 1 đến 2 năm sau đó đi làm  ạ  em không biết chọn điện thoại nào ạ   .
 Chúc anh và gia đinh nhiều sức khỏe ạ",0.2986744918257375
121,Sợ quá,One plus 15 của e up ROM oxygen os hiện tại dùng ngân hàng bt liệu có bị sao không ạ hay là chưa khoá ngân hàng thôi,0.2851118125206615
122,Hài quá,Nên mua redmi note15 5g hay samsung a36 nhu cầu sử dụng cơ bản và chụp ảnh ạ,0.2908733275356833
123,Hài quá,"em chào anh Dương ạ
tài chính 10tr có thể thêm 1 tí thì anh Dương nghĩ nên chọn máy nào ạ
em cảm ơn anh nhiều!",0.28162891115017
124,Sợ quá,Anh dương ơi cho em hỏi có con đt nào tầm 1tr2 mà 64 hoặc 128 gb ko anh em là hs ko có nhiều tiền ạ e cảm ơn anh ạ chúc anh đc 3tr sub trong năm nay ạ❤,0.2968822816318782
125,Hài quá,"cho e hỏi tài chính loanh quanh 10-15tr thì nen mua máy android nào hiệu năng cao,cam ổn chút,dung lượng cao thì càng tuyet vời ạ,chúc ah và gđ năm mới dồi dào,nhiều sk, làm ăn phát đạt!",0.29251776452080885
126,Sợ quá,Dạ theo ah tài chính 15tr có nên mua oppo reno 15 ko ạ,0.30604458226865255
127,Hài quá,Không thấy anh dương nhắc đến foco F8 pro,0.3261891074751003
128,Hài quá,Tham khảo tại Clickbuy : https://clickbuy.com.vn/?utm_source=duongde&utm_medium=ytb&utm_campaign=trangchu,0.296035101821901
129,Hài quá,"Em chào anh chúc anh năm mới bình an và dồi dào sức khỏe. Em đang muốn mua 1 con máy android làm máy phụ giá dưới 10 triệu xách tay. Em cần máy có pin trâu, hiệu năng cao nhất và sạc nhanh ạ. Em càm ơn nhiều.",0.3122127474235221
130,Hài quá,Cho e hỏi mua có phải chuyển tiền trước k a,0.27205135658175145
131,Hài quá,Anh có link s25 giá tốt k ạ,0.32845478202151224
132,Hài quá,chào a . a ơi mấy sam sung s24 fe cũ giá 8tr 4 fulbox có đáng mua ko . mong a tư vấn,0.30121959499794354
133,Hài quá,Làm thế nào để kích vào kênh Dương Dê,0.3246261826248337
134,Sợ quá,"Honor 400 pro săn sale tầm 13.4 triệu, có nên mua ko Anh ? E ko chơi game, chủ yếu chụp hình thôi. Cảm ơn Anh tư vấn",0.28912137608596106
135,Hài quá,Tân mua Shoppee giá giảm 40%....…,0.31262715058581825
136,Thật kinh tởm,"1 lời tiên tri kể rằng sẽ có 1 Goat review điện thoại nào đó thủ thỉ với tôi về 1 con Điện thoại 2-3 triệu, (cần nhất) cấu hình ổn để lướt web đa nhiệm, màn hình lớn, 6/64 - 6/128, NFC, 5G càng tốt, Nô vấn đề tên tuổi....",0.2845339399347462
137,Hài quá,"Chào chú hiện tại cháu đang dùng iphone 14 plus 128gb và thường xuyên bị đầy bộ nhớ thì nâng cấp lên iphone 17 pro max 256gb hay iphone 16 pro max , 2 cái này thì cái nào kinh tế hơn ạ , cháu cảm ơn và chúc chú và gia đình nhiều sức khoẻ ạ ❤",0.3225667060011081
138,Sợ quá,"Mng chi mình hỏi nếu mình mua đt trên shoppe thì tới lúc bảo hành máy thì đem đi đâu ạa,",0.29548101653113196
139,Thật kinh tởm,"Anh ơi redmi tubor 4 có thể cài đc ROM global không a, và nếu cài được rồi thì máy có bị làm sao không ạ, mong a giải đáp giúp e ạ, chúc a với gia đình luôn khỏe mạnh.",0.29716974825420245
140,Hài quá,Ae nào mua qua linh của a dương chưa ạ. Có ổn không ạ.,0.312696057512738
141,Hài quá,add điện thoại khác thì ok chứ iphone e ấn k bao giờ có mã 😀,0.31818374946043754
142,Hài quá,"Đừng ham giá rẻ mua voucher trên YouTube shopping. Quy định của shop không cho đồng kiểm, đặt điện thoại A thì giao điện thoại B, đau đầu nên xóa luôn shopee luôn rồi.",0.3246797888073825
143,Hài quá,Bạn  ơi  sao mình  bấm mua remind not 15.5g dang ở 5200k ma khi bấm mua nó lại  nhảy sang hon 6tr,0.3135460137682073
144,Thật kinh tởm,"E chào a. em xin tư vấn về máy loanh quanh 4,5 tới 6 triệu chạy tốt duy trì trong 4 tới 5 năm các vấn đề liên quan đến rom em có  thể khắc phục, em ưu tiên vè hiệu năng là chính ạ,  Chúc anh và gia đình năm mới thuận lợi",0.3462571229825696
145,Hài quá,Chào a dương.em muốn mua chiếc dt tầm giá 7tr ko phân biệt chính hãng hay sách tay nhưng phải có tiếng việt ko thiên về chip chỉ cần cam đẹp rum xa pin khỏe là được .chúc a và gia đình thật nhiều sức khỏe,0.31436631667077086
146,Sợ quá,Mọi ng ơi.mua ở shop có yên tâm k ạ ?e định 15t pro mà lăn tăn quá! Thấy nó rẻ hơn viettel.tgdd quá.nên chưa dám mua ?ae tư vấn hộ e mới ạ,0.35589821429745483
147,Hài quá,ai thèm mua con đó đâu,0.2923502744781618
148,Sợ quá,anh dương ơi cho em hỏi tí là em đang phân vân giữa oppo reno 15 và xiaomi 15t pro em lựa chọn máy nào ạ nhu cầu là em ko chơi game  và em hay edit vd lướt mạng xh đôi lúc ek có chụp ảnh ạ em cần hiệu năng ram rom cần camera đẹp xíu ạ chúc anh và gđ nhiều sức khoẻ ạ,0.2966033201118933
149,Hài quá,"Chào chú ạ, cháu chưa bao giờ đặt hàng trên yt shoping và vừa rồi  cháu có thấy video về xiaomi 15T với giá giảm sâu cháu muốn mua nhg cháu cũng chưa từng đặt hàng với giá cao như vậy liệu có đúng với hàng chính hãng và giới thiệu ko ạ cháu chưa biết nên nhờ chú TL cháu ạ. Chúc chú và gđ nhiều sk ạ.",0.28149459116152914
150,Hài quá,"Mình mới mua IPhone Air trên Shopee giá 23.7 triệu đây, rất hài lòng, pin từ sáng đến đêm còn chưa hết, ko tệ như lời đồn 😅",0.3369359575974395
151,Hài quá,nói chung là iphone e là thiết kế đáng giá nhất nó cao thì chê giảm giá thì mình mua luôn,0.3388655440829032
152,Sợ quá,Rất là mong ai đó cho ý kiến rằng Poco X7 5G 8/256 giá 4690K có phải là Best Choice rồi không. Hay t đang chưa nhận ra 1 nguyệt quang nào đó pro hơn trong tầm giá đó? 🫥,0.3060868417393596
153,Hài quá,"Cháu chào chú Dương, cháu đang cần mua 3 chiếc điện thoại android giá lần lượt là 3tr, 4tr, 6tr (toàn diện nhất trong tầm giá, ưu tiên máy chính hãng) mà không biết nên chọn máy nào! Chú tư vấn giúp cháu với ạ! Chúc chú và gia đình thật nhiều sức khoẻ ạ.",0.28607641697609165
154,Hài quá,Anh dương ơi mua qua ytshoppe có chế độ bảo hành đầy đủ ko a mong a tư vấn ạ chúc a và GĐ nhiều sức khỏe,0.30216993580695417
155,Hài quá,"Chào chú ạ, cháu đang tìm 1chiếc điện thoại cho mẹ tầm 5-10tr. Yêu cầu: Chụp ảnh nịnh mắt chút, dung lượng 256gb trở lên, bền ạ. Chúc chú và gia đình sức khoẻ, làm ăn phát đạt.",0.3115247901143953
156,Sợ quá,"Mình rất thích xài Android cao cấp, nhưng lại sợ sau vài năm bị hư hỏng ko có linh kiện thay thế. 
Bạn dương có thể tư vấn dùm mình nhé, liệu sau vài năm có linh kiện thay thế cho đt Android ko ạ, cảm ơn bạn nhiều, chúc sức khỏe và hạnh phúc nhé!",0.28856536726849447
157,Hài quá,"Quan trọng tài khoản shopee có uy tín k nữa. Note 15 5G m bấm vào còn 4,9tr, 4G còn 3,9tr",0.3111816313237251
158,Hài quá,h,0.3374786078169767
